0	is very very very super duper wuper sad now  http://plurk.com/p/11tehy
0	is very very very very excited to see Taylor Swift in November with Glaimee!!! And only just got the pre-sale ticket e-mail
0	is very very very very verryyyyy boreddddd
0	is very worried about sam  and wants to know he okay!
0	is very worried. parents went to sagada. dad txted landslides are all over the place.   http://plurk.com/p/x4glg
0	is very, very affected... Has regrets with the lost opportunity.  http://plurk.com/p/rhh7b
1	is veryyy confused...not entirely sure how to work this but oh well
0	Is vey Sad  College is over for this term I so loved Public Speaking had a great time but now it's over. but im one step closer to my goal
0	is vry boredd...my mum is ignoring me on msn...
0	is waaay pissed at the real estate agent who didn't bother to show up at an open house 2day & not even call!!! ....faaaark!!
1	is waÏ„ching Wall-Îµ.IÏ„s Ï„hÎµ cuÏ„ÎµsÏ„ Ï„hing!
1	is waitin at the airport for Masha to arrive
0	is waitin go in baccy road for a BBQ then jeffs off to iceland tomorrow
1	Is waiting
1	is waiting 2 win a trip on the bus
0	Is waiting at another Dr visit. 6 Dr visits this month. Blah!  Too nice outside to be in here!
0	Is waiting at the doctors office to get a shot
1	is waiting at the doctors..hurry up!! Its sunny
1	is waiting for to get home from work so we can go to Emine's partyy!
0	is waiting for 65102 to get ready so we can o shopping;;  without throop
1	is waiting for a delivery for Lilith Shop
0	Is waiting for a holiday he promised me  take some days off sih sayang huaaa
0	is waiting for a txt message.which im probally not gonna get
0	is waiting for almost 45 minutes for call... sorry for keeping u wait for us...
1	is waiting for bigbrother to come on
1	Is waiting for Carl to come downstairs. Work was fun today and very busy.
0	is waiting for csi to come on tv...i miss two people, alot. 
0	is waiting for daddy-o to bring home chinese fooooood! Still sick
1	is waiting for Disturbia  i wanna watch it again! http://plurk.com/p/xv0sw
0	is waiting for her 10.30pm interview
0	is waiting for her car battery to be ready for pick up, yep left the lights on 
1	is waiting for her hair to be done. Secretly pleased with my surprise ysl pressie
0	is waiting for her little dog to get out of surgery   and just got owned by her management project.  Awesome start to the day!
1	Import all your previous email accounts into gmail. The assimilation continues.  http://bit.ly/15J63y
0	Important! Swedish anti-piracy lobby may continue to gather IP addresses from Internet users. They are an exception to our privacy laws.
0	Importing ~3 months worth of snapshots into #Lightroom. Oops-I'm a little behind. Worse yet -I don't have time to tag them right now.
0	importing articles into this site, I've hit the historical limit on what has a DOI  not fun now
1	importing photo of a nice day in german
1	Importing the photos from my iPhone to $III and looking back to a great year with friends, family, fun, and food. Lots of food. 
0	Impossible Germany. Wake me when Nels Cline finishes this solo. (via ....
0	impressed at how good my aunt and uncle were doing today. it has been a month since we lost kyle...
1	Impressed on how fast Flash on the Beach tickets are going. #FOTB Mega Early Bird, and Super Early Bird tickets gone! I got Mega 
0	impressed with #G1 setup that has successfully forwarded a call when mobile signal dropped. sadly means am constantly contactable
1	Impressionant!!! coses aixÃ­ em fan enyorar els 90  Billy Idol - Cradle Of Love http://bit.ly/i28vL
1	Impressive opening car chase.  So far:
1	imprint live is good.
1	Impromptu party at my place. It's been a while.
1	impromto steak dinner party at the house. I had a shroom
1	Improv last night was hilarious!! Go UCB! Definitely going back
0	improv was fun today. too bad today was our last class
0	Improved embroideries, and buff'd ring enchants! more stam from the Mining bonus! no changes to blacksmithing 
0	impulse purchased a book good book called ERP Demystified.... I  seriously can finish up big amount on purchasing books....
1	impulse shopping is the worse kind of shopping ! must save money before major destress shopping !!
0	Impulse was an amazing book. I almost cried, Ok i did..lol. It was so sad. 
1	In  the apple store  with Hi
1	in #boston with the fam, getting ready to go to #harvard mem church (my old stomping grounds!) ...and the weather is FINALLLY cooperating 
1	In #musicmonday â€¢ chinese music â€¢ Snake Dance by Jay Chou  http://video.ecuachina.com/?p=8
0	in uni on a saturday night
1	in 1 hour iÃ¡m in berlin  i love the Adlon Hotel in berlin
0	In 12 days I can run around in my house totaly naked again....yeah! but when I'll look outside my window it's probably going to rain.
0	In 12 hours I'll be graduating from college. Starting to get sad
1	in 14 hours and 32 minutes, school's pretty much over 
0	In 14 hours im taking 2 aerobics classes with only about 30 min break in between
1	in 1st period. i hate this class. can't wait until i'm home!!!!!!!!!  i'll b the happiest person in the world wen i'm home!!!
0	In 2 hours 45 minutes my wisdom teeth are getting removed
0	in 2 hours i wrote 1 and half sentances how sad is that and yuck we are having fish for dinner...
1	in 2 hours or so I will upload an image of the comic without illustrationâ€¦ so you can see the process  yes?
1	is waiting for her man to get here for some luvin'
0	is waiting for her party guests to arrive... then Wonderland! Crap weather unfortunately
0	is waiting for her sissy outside news center.. Thank god the gps didn't take me on a roundabout trip this time. Next stop, hougang 
1	is waiting for his dinner to be cooked! jeeez im about to FIRE my chef! so who cares ima ima a DIVA!
1	is waiting for Lines,Vines and Trying TImes to come out! 19/6/09 This Friday! 
0	Is waiting for lunch to get here... I cnt believe I eat lunch so late! I'm starving
1	Is waiting for Marcel and Chole's choice of Wedding Planner group. (hope it's mine).
1	is waiting for Marco to go have breakfast!!! // j'attends Marco pour aller dï¿½jeuner!!!
1	is waiting for miguel. . .  we'll go dancing in the rain
1	is waiting for my bf to pick me up
1	is waiting for my friend to go to TP  http://plurk.com/p/t0wm2
1	is waiting for my mum to come round  x
1	is waiting for my roast dinner
0	is waiting for pizza...!!!! Hungry! no food in the house and HATES storms!
0	is waiting for prom to be over and done with, enough with all the drama!  You might think its easy, but being a teenage is stressful... 
0	is waiting for RC to come back  http://plurk.com/p/n2b6d
0	is waiting for some one to come out in living room to hang with me i sort had to work some super wonder too my hair it puffy
0	is waiting for the clock to countdown for work tonight
0	is waiting for the ex hubby to come ova to look at her car !!  the bubble is sick!
1	is waiting for the fa cup final come on chelsea  ktbffh!
0	is waiting for the groginess to wear off from his late night darvocet last night
0	is waiting for the hubby to come home
0	is waiting for the lecturer
1	is waiting for the oppenning of Tokio Hotel website... In 6 hours !!
0	is waiting for the smelly bus.
0	is waiting for the sun to shine again
0	is waiting for the vet to open as I have a sick dog...very sad.
0	IS waiting for this silly class to start...everyone else is off today
1	is waiting for this week to fly by.. then Bangalore, here I come !! 
1	is waiting for tima to txt me after she gets this nxt tweet  because....
1	Is waiting her turn at iron age tattoo. . . Thou shalt be inked
0	Is waiting in a long ass line at traffic court to pay $800
0	is waiting in the doctors office. My throat is KILLING me
0	is waiting my mom  cepetaaaaaan pulang ma
1	is waiting on my boyfriend to come see meeee
0	is waiting on this uber boring class to start...not looking forward to it
0	is waiting phone call from my hubby. Should get it any time now even if his plane would arrived at Narita Intl. airport for 1 hr delay.
1	is waiting to catch an overnight train to hongkong after trekking in the Longji rice terraces
0	is waiting to eat a scrummy roast dinner...not looking forward to tommorow tho  sad times
0	Is waiting to get picked up to go to ikea
0	is waiting to get the sausage, egg, and cheese biscuit he was promised for breakfast, 
0	i'm ALONE right now!
0	i'm alone. i'm sad. i don't wanna go to school yet  broadband's really really ... Read More: http://is.gd/RxMd
0	I'm already counting down the minutes to go home! I have such a headache! staring at the screen for too long
0	I'm already feeling the basketball withdrawl syndrome coming on. Only a a week or two left til october...
0	Im already finished dinner.
0	I'm already growing a dislike for today, woken up early then remembered a load of other clothes that seem to have dissapeared in the move 
1	Im already in vacation mode...I don't wanna be at work!!!! 24 hours til florida, I can do this! 
0	Im already near my house  Why dont YOU come visit ME! Haha. Ps. Plz bring potato gems??
1	I'm already tired of the handbook, time for my new book "This Will Kill You"!!!!!! 
0	I'm already tired. it 8:30 in the morning on Monday
0	i'm already working for 5 years and i don't think i've accomplished anything
0	im alredy missing winter....
1	i'm also bummed that LAKERS won today....but i want them to go up against cavs now so lebron can't whoop kobe's boooooootay  hard, HAHA
1	im also feel happy for him.. now that we already enjoy our own lifes..  and we're friends now..
0	Im also quite gutted Nadal pulled out of wimbledon.
0	I'm also thinkin bout my MOMS she havin surgery on July 2nd, DAMN she ain't gone be able 2 move fo 6 weeks DAMN!!! I LOVE YOU MOM!! 
0	I'm always depressed because I'm always sad. I'm always sad because I'm always bored... I'm always bored because I'm always here
0	i'm always doing the homework!
1	I'm always excited for it to be sunday just so I can read new secrets on
0	I'm always exhausted!
0	im always getting into trouble ad shit...and im tired of it.
0	I'm always giving up the goods on ABQ freecycle but im always too slow to get the stuff i actually need, 
0	i'm always hungry you might as well call me pregnant!
1	I'm always hungry. Haha i dunno why.
0	I'm always sad when i leave the gym.
0	im always too nervouse to post video responses
0	I'm always wary of stepping on Roxy whenever I go to bed, she's always right next to my door 
1	i'm always working
0	I'm am SOOO confused.
0	im am SOOOOO tired  got back in last night at 4am !! had such agreattime though !!! helicopter arrival was THE BEST !!!! xoxo
1	I'm amazed at how GREAT new moon is looking
1	im amazing... yea im allll dat...
0	Im an asshole. Sorrrrrry
0	im an eijit ha! rain  at least im at home in bed  i know i know at this hour....scandalous ha
0	I'm an idiot. Left the lights on and killed the car battery
0	I'm an idiot. Off to Heatheow
1	I'm an incredibly happy person with 100% energy. Love to dance & laugh...the only thing that I know.I'm one of the most down to earth ppl
0	I'm an intern - how can I afford the iPhone 3GS? I guess I will have to settle for the 3.0 software update.
1	i'm an official fan of Honor Society  hahahahaha it was so easy
1	is waiting to go on a driving lesson in this fine weather!
1	Is waiting to go to walmart
0	is waiting to go, to school  and is watching as the numbers go down when she types! what a saddo! IM GUNNA MISS JULIA XOXOXOXOXOOXOXOXOXXO
0	is waiting to see a smile on her face - she is so near, yet so far! One smile would make his day - one look - oh! those eyes!! Look at me 
1	is waiting to see Dublin: The Movie on the big screen. Haven't seen it? Visit http://4daymovie.com and watch it there
0	is waiting to see what is bringing back from whole foods!! my tummy hurts and i need some food!
0	is waiting to see what is bringing back from Whole Foods! My tummy hurts and I need some ginger!
0	Is waiting, yet again. please, just let this to be over 
0	is waiting...arggh , i hate it . 
1	is waking up
0	Is waking up to another sunny day in Singapore but this cold's not going away
0	Is waking up to yesterday's nightmare. I don't want this to be over
0	Is walkin down 2 work in the pissin down rain
0	is walkin home from the football cos he could not before a ticket
1	is walking around ny with liz
1	Is walking on sunshiiine! whoa-oh-oh! and dont it feel good! aahh i'm random today
1	is walking on the beach Old English style.
1	Is walking swimming go karting then dating out for dad's birthday. Full day of fun
1	is walking... my nightly exercise...  http://plurk.com/p/xms6y
1	is wanting a hot bath with turkish delight bubble bath...
0	is wanting her sidekick.... like... NOW
0	is wanting these bitches 2 wake up!  wanna g0 h0me......
1	is wanting to die from the pain.... but at the same time, it's SOOOOOOO good. 
0	is wanting to go back to Vegas........
0	is wanting to go buy  comic books but cant because of a stupid family thing
0	is wanting to go for a run but it looks like it's going to rain cats and dogs very soon!
1	Is wanting to go get her hair done now, hopefully this hour will go by fast 
1	is wanting to go see a mooooooooooooooovie
0	is wanting to go see Food Inc. but its not playing in Ottawa!
1	is wanting to go spend a week in the sunshine with her favourite person in the whole world  <3
0	is wanting to go to mandarine!!
